GEOID10,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CBSA,CBSA_Name,TotPop,NatWalkInd,geom_wgs84,State_name,County_name,Walkind_tract_avg,Walkind_county_avg
350010003004,35,001,000300,4,10740,"Albuquerque, NM",977,12.333333333333334,"MULTIPOLYGON (((-106.61755200037868 35.09285799982572, -106.61645100011167 35.09286700060978, -106.61534199997419 35.09288100030645, -106.61422699939914 35.092894999979904, -106.6130860000536 35.0929040002556, -106.61224199989415 35.09290700059442, -106.61225000021777 35.09177300063278, -106.61131700065226 35.091777000485166, -106.61054299960689 35.09177999986364, -106.60995300065402 35.09162299922389, -106.60939999945946 35.09124099988994, -106.60907600006387 35.091420000030745, -106.60891500050296 35.09144600083782, -106.60863299993156 35.09146400021481, -106.6083030001355 35.091422000420096, -106.60650300019493 35.09141300019849, -106.60651099934006 35.09074200019101, -106.60648700005777 35.09004699972372, -106.6065259994392 35.08930799958129, -106.606581000316 35.087508999237066, -106.60762899960498 35.08748299996397, -106.6082340002631 35.0875140002813, -106.60872100014203 35.08750199999642, -106.60985200010032 35.0874980000141, -106.6109169997018 35.0874949999848, -106.61202200053529 35.08748099983554, -106.61315300017105 35.087499999940476, -106.61428100047186 35.08749699985743, -106.61430100055507 35.08834000028009, -106.61429899972228 35.088399000026264, -106.6142680001419 35.08920999953004, -106.61424700005625 35.08977499943578, -106.61421900035089 35.09107899990343, -106.61485800027613 35.091076999781876, -106.61534099979501 35.09107599954997, -106.61554400006395 35.09107400004434, -106.61646199962611 35.091066999853254, -106.61675700048652 35.09106500025481, -106.61698100004853 35.09106299954248, -106.61754999980066 35.091057999679634, -106.61754800034345 35.09208499992256, -106.61755200037868 35.09285799982572)))",NEW MEXICO,BERNALILLO,12.305555555555555,12.450688073394502
350010003001,35,001,000300,1,10740,"Albuquerque, NM",1370,15.333333333333334,"MULTIPOLYGON (((-106.613887999831 35.106548999620536, -106.61363900031084 35.106585999746294, -106.61343199946444 35.10666800013989, -106.6132779993884 35.10672899995963, -106.61315699945591 35.106815000053544, -106.613083999886 35.10686700062331, -106.61300099943945 35.10696100051177, -106.6128700002049 35.1071089993796, -106.61285800085439 35.107131999976055, -106.61243600024805 35.107034999710734, -106.61144300009136 35.10680600005215, -106.60964100023473 35.10639199953453, -106.60906799979279 35.10626000015013, -106.60826599946736 35.1060790001902, -106.60419700048394 35.10516199999283, -106.60419700030975 35.10496199964923, -106.60419300034178 35.10444199981083, -106.60419599996105 35.10390500029031, -106.6042059996404 35.10201300003075, -106.60422999950967 35.10012999949707, -106.60528599970087 35.10014300055162, -106.60609099987889 35.09988300055208, -106.60688500003367 35.09982900061318, -106.60764000019493 35.10001700008512, -106.60764299963311 35.098348000493885, -106.60862599987821 35.09833599985528, -106.60973500022641 35.09835999979413, -106.61085399938352 35.098337999869095, -106.6119630003672 35.09833499938515, -106.61306100002646 35.09833099955137, -106.61303799936316 35.100163000709834, -106.61305299991724 35.10110099979204, -106.61302500025116 35.102029999809844, -106.61386199947636 35.102026999681456, -106.61387999929818 35.10353899949486, -106.6138860004019 35.105018000593056, -106.61389100025536 35.10615299997085, -106.613887999831 35.106548999620536)))",NEW MEXICO,BERNALILLO,12.305555555555555,12.450688073394502
350010003002,35,001,000300,2,10740,"Albuquerque, NM",473,13.833333333333334,"MULTIPOLYGON (((-106.61307599954907 35.09696400013393, -106.61307899998577 35.097531999925046, -106.61306100002646 35.09833099955137, -106.6119630003672 35.09833499938515, -106.61085399938352 35.098337999869095, -106.60973500022641 35.09835999979413, -106.60862599987821 35.09833599985528, -106.60764299963311 35.098348000493885, -106.60764000019493 35.10001700008512, -106.60688500003367 35.09982900061318, -106.60609099987889 35.09988300055208, -106.60528599970087 35.10014300055162, -106.60422999950967 35.10012999949707, -106.60421499990741 35.099123000404326, -106.60422499910278 35.098984999803875, -106.6042289994589 35.097574999963385, -106.60421400019369 35.096544000245515, -106.60423100003143 35.09499000032734, -106.604362999678 35.094798000291114, -106.60469799964005 35.094755000172064, -106.60652799968732 35.094715000166566, -106.60756400026554 35.09471999999584, -106.60867299964832 35.09472499989364, -106.60974999998369 35.09472200010094, -106.61041999997867 35.094711000379, -106.61084900056632 35.094702000109955, -106.6113190008206 35.09471800009704, -106.61305400067205 35.09471000002253, -106.61305099964501 35.09600999938051, -106.61308500019001 35.0965350000254, -106.61307599954907 35.09696400013393)))",NEW MEXICO,BERNALILLO,12.305555555555555,12.450688073394502
350010003003,35,001,000300,3,10740,"Albuquerque, NM",817,12.833333333333332,"MULTIPOLYGON (((-106.61305400067205 35.09471000002253, -106.6113190008206 35.09471800009704, -106.61084900056632 35.094702000109955, -106.61041999997867 35.094711000379, -106.60974999998369 35.09472200010094, -106.60867299964832 35.09472499989364, -106.60756400026554 35.09471999999584, -106.60652799968732 35.094715000166566, -106.60469799964005 35.094755000172064, -106.604362999678 35.094798000291114, -106.60427900021078 35.09464499983696, -106.604236999703 35.09450700019244, -106.60424800035604 35.09437599996378, -106.60423499983112 35.094238999904, -106.60423500011747 35.094101000013836, -106.60424399968164 35.093826999335434, -106.60422999976701 35.09300099988341, -106.6042270001092 35.09218500031379, -106.60420200041088 35.09136800083711, -106.60421499993278 35.08952799983099, -106.60419800033473 35.08792900053729, -106.6042119997227 35.087804999507014, -106.6042479997649 35.08749200011719, -106.60549299932741 35.08752200053681, -106.606581000316 35.087508999237066, -106.6065259994392 35.08930799958129, -106.60648700005777 35.09004699972372, -106.60651099934006 35.09074200019101, -106.60650300019493 35.09141300019849, -106.6083030001355 35.091422000420096, -106.60863299993156 35.09146400021481, -106.60891500050296 35.09144600083782, -106.60907600006387 35.091420000030745, -106.60939999945946 35.09124099988994, -106.60995300065402 35.09162299922389, -106.61054299960689 35.09177999986364, -106.61131700065226 35.091777000485166, -106.61225000021777 35.09177300063278, -106.61224199989415 35.09290700059442, -106.6130860000536 35.0929040002556, -106.61305400067205 35.09471000002253)))",NEW MEXICO,BERNALILLO,12.305555555555555,12.450688073394502
350010003005,35,001,000300,5,10740,"Albuquerque, NM",1072,8.0,"MULTIPOLYGON (((-106.6218890005447 35.10198699978782, -106.62139399969035 35.10197899989527, -106.61999400065976 35.10198099964882, -106.61949100069523 35.1020100005531, -106.61579799970455 35.1020300001154, -106.61386199947636 35.102026999681456, -106.61302500025116 35.102029999809844, -106.61305299991724 35.10110099979204, -106.61303799936316 35.100163000709834, -106.61306100002646 35.09833099955137, -106.61307899998577 35.097531999925046, -106.61307599954907 35.09696400013393, -106.61308500019001 35.0965350000254, -106.61305099964501 35.09600999938051, -106.61305400067205 35.09471000002253, -106.6130860000536 35.0929040002556, -106.61422699939914 35.092894999979904, -106.61534199997419 35.09288100030645, -106.61645100011167 35.09286700060978, -106.61755200037868 35.09285799982572, -106.6175639993987 35.094672999895316, -106.6175210003997 35.09632100046952, -106.61753399960774 35.09714499951927, -106.61750699924866 35.098317999524966, -106.6197970002927 35.09835699953075, -106.62129500042508 35.09851900036336, -106.6218799998615 35.0985459992977, -106.62181800022188 35.09985899942713, -106.6218890005447 35.10198699978782)))",NEW MEXICO,BERNALILLO,12.305555555555555,12.450688073394502
350010003006,35,001,000300,6,10740,"Albuquerque, NM",1173,11.5,"MULTIPOLYGON (((-106.63431200046945 35.09139099956607, -106.6335370001942 35.09353300034114, -106.63339900002427 35.093898999942525, -106.63318799976525 35.09452300038549, -106.63283899970357 35.09551000018665, -106.63235299954995 35.096887999744496, -106.63199899957625 35.09789000011499, -106.63010999954429 35.10300600008002, -106.63006699930955 35.10313499993327, -106.62984999940394 35.10378700016491, -106.62983800037392 35.10382399972717, -106.6297430001667 35.10410899939432, -106.6296470005761 35.10440599982008, -106.62957699942409 35.10462700027381, -106.62938699984333 35.10514199979836, -106.62923900027957 35.105546000704194, -106.62796499960685 35.10572100020567, -106.6275040008215 35.10578499961927, -106.62738900040837 35.105804999556945, -106.6238000001185 35.10641299989687, -106.61991600015591 35.10725800044668, -106.6189039999202 35.10742400019427, -106.6179979996833 35.10753000065218, -106.61722800009314 35.107559999712095, -106.61608000010872 35.10759000062904, -106.6149450002691 35.10756800039856, -106.61382099931178 35.1073540005243, -106.61364999984986 35.10731500059114, -106.61309699970236 35.1071870000168, -106.61296999979342 35.10715800056891, -106.61290699977795 35.107143000023505, -106.61285800085439 35.107131999976055, -106.6128700002049 35.1071089993796, -106.61300099943945 35.10696100051177, -106.613083999886 35.10686700062331, -106.61315699945591 35.106815000053544, -106.6132779993884 35.10672899995963, -106.61343199946444 35.10666800013989, -106.61363900031084 35.106585999746294, -106.613887999831 35.106548999620536, -106.61389100025536 35.10615299997085, -106.6138860004019 35.105018000593056, -106.61387999929818 35.10353899949486, -106.61386199947636 35.102026999681456, -106.61579799970455 35.1020300001154, -106.61949100069523 35.1020100005531, -106.61999400065976 35.10198099964882, -106.62139399969035 35.10197899989527, -106.6218890005447 35.10198699978782, -106.62228399949443 35.10196900024277, -106.62303600014143 35.101948999646694, -106.62362200041132 35.1017569999703, -106.6238829997483 35.10168699945581, -106.62414400050986 35.101566000105585, -106.62464499946469 35.101218999675304, -106.62468900014959 35.10118499943636, -106.62508200050802 35.100891999399494, -106.62522099973 35.100771999719264, -106.62529400039257 35.10070999965594, -106.62537200046052 35.10064000006855, -106.62555100044354 35.100477999533595, -106.62580099999832 35.10023700038987, -106.62637799933526 35.099757999829365, -106.62737000084692 35.099000999911894, -106.62712500035907 35.098276999522085, -106.62702399938817 35.09804499986124, -106.62692799973001 35.09782399988225, -106.62676300009295 35.09736399956437, -106.62664899942797 35.09689099986964, -106.62660600034104 35.096412000258184, -106.62665099957488 35.09593299935876, -106.6265669999671 35.095458000455494, -106.62655000049372 35.09531599963216, -106.62653400007845 35.09518600017745, -106.62651000068483 35.094978999664406, -106.6263550002076 35.09451700027513, -106.6261709996857 35.09405999938483, -106.62582500044175 35.093142000717485, -106.62566099999292 35.0926800001869, -106.62550299996646 35.09221700001386, -106.62537599983115 35.09174800028228, -106.62536899946285 35.091666000052825, -106.62530799986709 35.091270000527594, -106.62525900060187 35.09031000028168, -106.62633799980243 35.090846999892435, -106.6269210008904 35.091094000000766, -106.62748199975324 35.091385000483314, -106.62855399968166 35.0917720001212, -106.62871200065854 35.09182600001329, -106.62937500042602 35.09190499987282, -106.63004299995703 35.09193100022555, -106.63070899944343 35.09197600000521, -106.63142000016198 35.0920019999775, -106.63218100002304 35.092028000404, -106.63306100058126 35.09187399993792, -106.63344599976578 35.0917659999052, -106.63372700030858 35.09166799972652, -106.63409600054484 35.09149299951079, -106.63431200046945 35.09139099956607)))",NEW MEXICO,BERNALILLO,12.305555555555555,12.450688073394502
